날짜,월,사고수,날씨
21,8,133,"비
박무
연무"
22,8,130,"박무
연무"
23,8,123,박무
24,8,136,
25,8,86,
26,8,116,
27,8,114,"비
박무"
28,8,104,
29,8,123,"비
소나기
박무"
30,8,131,"비
소나기"
31,8,141,
1,9,85,
2,9,127,
3,9,124,"비
햇무리
채운"
4,9,106,"비
소나기
박무"
5,9,116,"비
소나기
박무
무지개"
6,9,134,비
7,9,90,"비
박무"
8,9,83,"비
박무
연무"
9,9,135,"비
박무
연무"
10,9,168,"비
소나기
박무"
11,9,146,"비
안개비
박무"
12,9,80,"비
박무"
13,9,58,비
14,9,69,"비
안개비
박무"
15,9,74,박무
16,9,94,
17,9,109,
18,9,119,
19,9,108,
20,9,126,
21,9,117,
22,9,97,비
23,9,113,
24,9,118,
25,9,117,
26,9,110,
27,9,127,
28,9,128,
29,9,102,"박무
연무"
30,9,133,"박무
연무"
1,10,111,"박무
연무
햇무리"
2,10,142,"비
박무"
3,10,111,비
4,10,129,"박무
연무"
5,10,111,"비
박무
연무"
6,10,88,
7,10,124,"비
박무
달코로나"
8,10,138,박무
9,10,98,
10,10,108,
11,10,129,"박무
연무"
12,10,126,
13,10,82,달코로나
14,10,125,연무
15,10,142,
16,10,107,
17,10,128,
18,10,144,
19,10,123,박무
20,10,81,"박무
연무"
21,10,110,"박무
연무"
22,10,132,연무
23,10,99,
24,10,130,
25,10,141,"비
박무"
26,10,108,
27,10,106,
28,10,99,"비
박무"
29,10,116,"비
박무"
30,10,138,
31,10,108,"박무
연무
황사"
1,11,136,"박무
황사"
2,11,129,"연무
햇무리"
3,11,88,"박무
연무"
4,11,133,
5,11,124,박무
6,11,95,"박무
연무"
7,11,125,
8,11,126,
9,11,119,
10,11,102,"비
소나기
박무"
11,11,118,"비
박무"
12,11,117,"박무
연무"
13,11,118,"비
박무
연무"
14,11,128,
15,11,184,"비
소나기
진눈깨비
박무"
16,11,127,"안개
박무
연무"
17,11,101,"비
박무
연무"
18,11,148,"비
눈
박무
황사"
19,11,146,눈
20,11,127,
21,11,134,
22,11,124,
23,11,125,
24,11,88,"비
박무"
25,11,109,
26,11,117,
27,11,112,연무
28,11,103,
29,11,129,
30,11,137,
1,12,105,
2,12,123,
3,12,118,
4,12,117,
5,12,130,
6,12,118,
7,12,118,
