사용일자,역명,승차총승객수,하차총승객수,날짜,월,사고수,날씨
20200214,강남,113614.0,119315.0,14,2,97,"박무
연무"
20200215,강남,75772.0,80458.0,15,2,91,"비
박무
연무"
20200216,강남,43892.0,43610.0,16,2,98,"비
눈
진눈깨비
박무"
20200217,강남,106675.0,109029.0,17,2,114,"눈
박무
연무"
20200218,강남,109332.0,110513.0,18,2,166,
20200219,강남,109058.0,110042.0,19,2,145,연무
20200220,강남,107019.0,108655.0,20,2,156,"박무
연무"
20200221,강남,105267.0,109084.0,21,2,115,"비
박무
연무"
20200222,강남,60264.0,63003.0,22,2,90,"비
진눈깨비
박무
연무
황사"
20200223,강남,32842.0,32141.0,23,2,69,
20200224,강남,84095.0,85164.0,24,2,104,
20200225,강남,77368.0,78595.0,25,2,80,"비
박무
연무"
20200226,강남,75301.0,75787.0,26,2,83,비
20200227,강남,71572.0,72386.0,27,2,64,
20200228,강남,69594.0,71163.0,28,2,82,"비
안개비
박무"
20200229,강남,35285.0,37114.0,29,2,74,"안개비
박무"
20200301,강남,18405.0,18248.0,1,3,48,"비
안개비
박무
연무"
20200302,강남,62556.0,63127.0,2,3,69,"비
박무
연무"
20200303,강남,62742.0,63287.0,3,3,72,연무
20200304,강남,63166.0,63174.0,4,3,66,"비
눈
연무"
20200305,강남,64350.0,64829.0,5,3,77,연무
20200306,강남,68005.0,70586.0,6,3,88,
20200307,강남,39648.0,41549.0,7,3,65,연무
20200308,강남,22855.0,22861.0,8,3,55,연무
20200309,강남,72919.0,73302.0,9,3,87,연무
20200310,강남,70679.0,71554.0,10,3,92,"비
박무
연무"
20200311,강남,72971.0,73223.0,11,3,89,
20200312,강남,71929.0,72725.0,12,3,87,
20200313,강남,75857.0,78367.0,13,3,100,"비
박무
연무"
20200314,강남,44058.0,46745.0,14,3,73,연무
20200315,강남,24905.0,24485.0,15,3,48,"박무
연무"
20200316,강남,73055.0,71549.0,16,3,92,
20200317,강남,73130.0,73546.0,17,3,92,연무
20200318,강남,74676.0,75073.0,18,3,87,"박무
연무"
20200319,강남,72021.0,72660.0,19,3,77,"비
연무"
20200320,강남,78642.0,82085.0,20,3,100,
20200321,강남,47272.0,49593.0,21,3,92,연무
20200322,강남,26203.0,25826.0,22,3,66,"박무
연무"
20200323,강남,74050.0,74190.0,23,3,96,
20200324,강남,74822.0,74483.0,24,3,94,연무
20200325,강남,76454.0,76834.0,25,3,95,햇무리
20200326,강남,74869.0,74954.0,26,3,96,"비
박무
연무"
20200327,강남,80402.0,82183.0,27,3,109,"비
박무
연무"
20200328,강남,46628.0,48851.0,28,3,87,햇무리
20200329,강남,25275.0,24989.0,29,3,69,
20200330,강남,73778.0,74047.0,30,3,95,연무
20200331,강남,73891.0,74418.0,31,3,98,
20200401,강남,74145.0,74244.0,1,4,81,연무
20200402,강남,73850.0,74522.0,2,4,105,
20200403,강남,78454.0,81684.0,3,4,98,"박무
연무"
20200404,강남,47013.0,48768.0,4,4,80,"박무
연무"
20200405,강남,25400.0,25236.0,5,4,65,
20200406,강남,76736.0,76489.0,6,4,94,
20200407,강남,77633.0,77320.0,7,4,87,"박무
연무"
20200408,강남,77544.0,77579.0,8,4,94,
20200409,강남,77853.0,78121.0,9,4,113,
20200410,강남,82377.0,85018.0,10,4,85,
20200411,강남,48917.0,50831.0,11,4,83,"박무
햇무리"
20200412,강남,26851.0,26697.0,12,4,61,박무
20200413,강남,78506.0,78629.0,13,4,106,
20200414,강남,82146.0,84845.0,14,4,101,
20200415,강남,39820.0,39836.0,15,4,84,연무
20200416,강남,79588.0,80277.0,16,4,89,
20200417,강남,81657.0,85231.0,17,4,84,"비
소나기
박무"
20200418,강남,53203.0,55836.0,18,4,77,박무
20200419,강남,27795.0,27093.0,19,4,65,"비
박무"
20200420,강남,79632.0,80189.0,20,4,91,"비
박무"
20200421,강남,82960.0,82857.0,21,4,81,
20200422,강남,82439.0,82489.0,22,4,93,"비
진눈깨비
황사"
20200423,강남,83453.0,84365.0,23,4,102,
20200424,강남,89681.0,93972.0,24,4,110,
20200425,강남,57149.0,60256.0,25,4,109,"연무
채운"
20200426,강남,32442.0,31585.0,26,4,74,
20200427,강남,84080.0,81425.0,27,4,112,
20200428,강남,86470.0,83769.0,28,4,102,연무
20200429,강남,90440.0,91148.0,29,4,122,"박무
연무"
20200430,강남,41984.0,42466.0,30,4,76,박무
20200501,강남,50937.0,52351.0,1,5,79,"박무
연무"
20200502,강남,49717.0,50389.0,2,5,85,"비
박무"
20200503,강남,31619.0,30662.0,3,5,65,"비
박무"
20200504,강남,74360.0,78135.0,4,5,110,
20200505,강남,36692.0,35995.0,5,5,61,연무
20200506,강남,89367.0,90161.0,6,5,130,달무리
20200507,강남,90788.0,91500.0,7,5,122,달무리
20200508,강남,92741.0,93572.0,8,5,161,"비
박무"
20200509,강남,56045.0,58417.0,9,5,103,"비
안개비
박무"
20200510,강남,32837.0,32355.0,10,5,69,"안개비
박무"
20200511,강남,85052.0,85563.0,11,5,124,"비
박무
연무
황사"
20200512,강남,85863.0,85711.0,12,5,90,"비
박무
연무"
20200513,강남,85666.0,85992.0,13,5,102,
20200514,강남,85210.0,85460.0,14,5,113,
20200515,강남,86958.0,89107.0,15,5,122,"비
박무"
20200516,강남,54304.0,55927.0,16,5,87,"비
안개비
박무"
20200517,강남,31463.0,31048.0,17,5,89,"안개비
박무
연무"
20200518,강남,82693.0,81923.0,18,5,119,"비
소나기
박무
연무"
20200519,강남,84751.0,84614.0,19,5,85,"비
박무"
20200520,강남,87805.0,83990.0,20,5,111,비
20200521,강남,87112.0,83722.0,21,5,112,
20200522,강남,90433.0,87627.0,22,5,115,"비
박무
연무"
20200523,강남,57581.0,55094.0,23,5,96,"비
박무
연무"
20200524,강남,29974.0,28110.0,24,5,73,"비
안개비
소나기
박무
연무"
20200525,강남,84834.0,80899.0,25,5,113,"박무
연무"
20200526,강남,85628.0,85358.0,26,5,92,"비
박무
연무"
20200527,강남,86774.0,87016.0,27,5,98,박무
20200528,강남,84735.0,85368.0,28,5,99,"비
박무"
20200529,강남,88100.0,90203.0,29,5,126,박무
20200530,강남,54966.0,55940.0,30,5,107,연무
20200531,강남,30239.0,29861.0,31,5,81,"비
박무
연무"
20200601,강남,83315.0,83762.0,1,6,119,"비
안개비
박무"
20200602,강남,82164.0,82261.0,2,6,87,"비
박무"
20200603,강남,85178.0,85228.0,3,6,109,"박무
연무"
20200604,강남,85129.0,85608.0,4,6,106,"안개비
박무
연무"
20200605,강남,89729.0,92155.0,5,6,119,"박무
연무"
20200606,강남,46732.0,47547.0,6,6,88,연무
20200607,강남,30438.0,29821.0,7,6,79,"박무
연무"
20200608,강남,83399.0,83653.0,8,6,123,"박무
연무"
20200609,강남,85682.0,85598.0,9,6,115,
20200610,강남,85689.0,84703.0,10,6,141,"비
박무"
20200611,강남,84921.0,85614.0,11,6,100,"비
박무"
20200612,강남,88381.0,91015.0,12,6,117,연무
20200613,강남,57958.0,58394.0,13,6,111,비
20200614,강남,32351.0,31944.0,14,6,78,"비
안개비
박무
연무"
20200615,강남,83949.0,84235.0,15,6,112,박무
20200616,강남,85535.0,85312.0,16,6,119,"박무
연무"
20200617,강남,86431.0,86743.0,17,6,94,연무
20200618,강남,86177.0,86697.0,18,6,116,
20200619,강남,89937.0,93161.0,19,6,137,"비
소나기"
20200620,강남,58448.0,60173.0,20,6,103,연무
20200621,강남,33924.0,33242.0,21,6,71,"박무
연무"
20200622,강남,83989.0,84236.0,22,6,95,
20200623,강남,85835.0,86230.0,23,6,136,비
20200624,강남,84633.0,84793.0,24,6,116,"비
박무"
20200625,강남,86672.0,87319.0,25,6,112,"비
안개비
박무"
20200626,강남,91789.0,95614.0,26,6,114,"안개비
박무"
20200627,강남,61662.0,63443.0,27,6,103,"비
박무
연무"
20200628,강남,35886.0,34972.0,28,6,75,박무
20200629,강남,85719.0,85008.0,29,6,98,"비
박무
연무"
